week,ending on,BE,BG,CZ,DK,DE,EE,EL,ES,FR,IE,IT,CY,LV,LT,LU,HR,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE
1,05-01-14,0,0,0,0,0,0,0,104,97,0,0,0,0,0,0,0,0,0,73,0,0,130,0,0,0,0,0
2,12-01-14,0,0,0,0,0,0,0,104,97,0,0,0,0,0,0,0,0,0,75,0,0,130,0,0,0,0,0
3,19-01-14,0,0,0,0,0,0,0,83,97,0,0,85,0,0,0,0,0,0,77,0,0,140,0,0,103,0,0
4,26-01-14,0,0,0,0,0,0,0,83,97,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0
5,02-02-14,0,0,0,0,0,0,0,87,103,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0
6,09-02-14,0,0,0,0,0,0,0,88,103,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0
7,16-02-14,0,0,80,0,0,0,0,88,103,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,111,0,0
8,23-02-14,0,0,0,0,0,0,0,90,104,0,0,50,0,0,0,0,0,0,78,0,0,155,0,0,111,0,0
9,02-03-14,0,0,0,0,0,0,0,86,104,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,111,0,0
10,09-03-14,0,0,90,0,0,0,0,88,104,0,0,65,0,0,0,0,0,0,88,0,0,155,0,0,119,0,0
11,16-03-14,0,0,0,0,0,0,0,88,103,0,0,0,0,0,0,0,0,0,93,0,0,156,0,0,0,0,0
12,23-03-14,0,0,94,0,0,0,0,84,103,0,0,0,0,0,0,0,0,0,96,0,0,155,0,0,109,0,0
13,30-03-14,0,0,0,0,0,0,0,90,104,0,0,90,0,0,0,0,0,0,95,0,0,155,0,0,111,0,0
14,06-04-14,0,0,102,0,0,0,0,92,104,0,0,90,0,0,0,0,0,0,92,0,0,155,0,0,111,0,0
15,13-04-14,0,0,0,0,0,0,0,94,104,0,0,90,0,0,0,0,0,0,90,0,0,155,0,0,109,0,0
16,20-04-14,0,0,0,0,0,0,0,92,104,0,0,120,0,0,0,0,0,0,87,0,0,155,0,0,109,0,0
17,27-04-14,0,0,0,0,0,0,0,93,104,0,0,95,0,0,0,0,0,0,78,0,0,155,0,0,109,0,0
18,04-05-14,0,0,0,0,0,0,0,93,104,0,0,0,0,0,0,0,100,0,78,0,0,100,0,0,0,0,0
19,11-05-14,0,0,79,0,0,0,0,92,102,0,0,100,0,0,0,0,0,0,78,0,0,155,0,0,111,0,0
20,18-05-14,0,0,69,0,0,0,0,93,102,0,0,0,0,0,0,0,0,0,75,0,0,122,0,0,89,0,0
21,25-05-14,0,0,76,0,0,0,0,96,101,0,0,0,0,0,0,0,0,0,71,0,0,88,0,0,111,0,0
22,01-06-14,0,0,71,0,0,0,0,97,100,0,0,0,0,0,0,0,0,0,73,0,0,75,0,0,111,0,0
23,08-06-14,0,0,0,0,0,0,0,94,100,0,0,0,0,0,0,0,0,0,67,0,0,70,0,0,0,0,0
24,15-06-14,0,0,0,0,0,0,0,93,98,0,0,0,0,0,0,0,0,0,65,0,0,70,0,0,0,0,0
25,22-06-14,0,0,66,0,0,0,0,94,97,0,0,0,0,0,0,0,0,0,60,0,0,70,0,0,0,0,0
