week,ending on,FR,PT
1,05-01-14,97,130
2,12-01-14,97,130
3,19-01-14,97,140
4,26-01-14,97,144
5,02-02-14,103,145
6,09-02-14,103,145
7,16-02-14,103,145
8,23-02-14,104,155
9,02-03-14,104,155
10,09-03-14,104,155
11,16-03-14,103,156
12,23-03-14,103,155
13,30-03-14,104,155
14,06-04-14,104,155
15,13-04-14,104,155
16,20-04-14,104,155
17,27-04-14,104,155
18,04-05-14,104,100
19,11-05-14,102,155
20,18-05-14,102,122
21,25-05-14,101,88
22,01-06-14,100,75
23,08-06-14,100,70
24,15-06-14,98,70
25,22-06-14,97,70
26,29-06-14,94,70
27,06-07-14,94,67
28,13-07-14,94,67
29,20-07-14,94,67
30,27-07-14,93,67
31,03-08-14,93,67
32,10-08-14,95,67
33,17-08-14,95,67
34,24-08-14,101,67
35,31-08-14,102,75
36,07-09-14,102,75
37,14-09-14,103,67
38,21-09-14,104,86
39,28-09-14,107,92
40,05-10-14,107,92
41,12-10-14,107,92
42,19-10-14,104,92
43,26-10-14,103,92
44,02-11-14,103,92
45,09-11-14,103,92
46,16-11-14,103,100
47,23-11-14,103,105
48,30-11-14,103,115
49,07-12-14,103,125
50,14-12-14,103,135
51,21-12-14,103,135
52,28-12-14,103,135
1,04-01-15,103,135
2,11-01-15,103,135
3,18-01-15,104,150
4,25-01-15,107,150
5,01-02-15,109,160
6,08-02-15,110,160
7,15-02-15,112,85
8,22-02-15,112,160
9,01-03-15,110,160
10,08-03-15,111,160
11,15-03-15,111,160
12,22-03-15,112,160
13,29-03-15,112,160
14,05-04-15,114,160
15,12-04-15,116,160
16,19-04-15,116,160
17,26-04-15,113,160
18,03-05-15,111,160
19,10-05-15,107,160
20,17-05-15,107,160
21,24-05-15,111,158
22,31-05-15,110,130
23,07-06-15,108,115
24,14-06-15,107,85
25,21-06-15,106,80
26,28-06-15,106,78
27,05-07-15,107,70
28,12-07-15,103,70
29,19-07-15,102,70
30,26-07-15,101,68
31,02-08-15,102,68
32,09-08-15,102,69
33,16-08-15,102,67
34,23-08-15,101,65
35,30-08-15,101,65
36,06-09-15,102,65
37,13-09-15,102,65
38,20-09-15,103,70
39,27-09-15,103,85
40,04-10-15,103,95
41,11-10-15,103,95
42,18-10-15,103,95
43,25-10-15,103,94
44,01-11-15,103,94
45,08-11-15,101,92
46,15-11-15,99,95
47,22-11-15,99,110
48,29-11-15,99,120
49,06-12-15,99,120
50,13-12-15,99,120
51,20-12-15,99,118
52,27-12-15,100,116
53,03-01-16,100,140
1,10-01-16,100,148
2,17-01-16,103,160
3,24-01-16,103,160
4,31-01-16,109,160
5,07-02-16,109,160
6,14-02-16,113,160
7,21-02-16,113,160
8,28-02-16,113,160
9,06-03-16,112,160
10,13-03-16,112,165
11,20-03-16,113,165
12,27-03-16,114,165
13,03-04-16,113,165
14,10-04-16,113,165
15,17-04-16,113,165
16,24-04-16,113,165
17,01-05-16,113,165
18,08-05-16,113,165
19,15-05-16,113,160
20,22-05-16,113,155
21,29-05-16,113,155
22,05-06-16,113,155
23,12-06-16,112,140
24,19-06-16,112,119
25,26-06-16,111,100
26,03-07-16,110,90
27,10-07-16,107,85
28,17-07-16,107,80
29,24-07-16,104,80
30,31-07-16,103,80
31,07-08-16,104,75
32,14-08-16,106,75
33,21-08-16,107,75
34,28-08-16,106,73
35,04-09-16,106,70
36,11-09-16,107,70
37,18-09-16,105,70
38,25-09-16,106,70
39,02-10-16,104,70
40,09-10-16,103,70
41,16-10-16,105,75
42,23-10-16,105,75
43,30-10-16,106,75
44,06-11-16,106,80
45,13-11-16,106,89
46,20-11-16,106,93
47,27-11-16,106,105
48,04-12-16,106,115
49,11-12-16,106,115
50,18-12-16,106,125
51,25-12-16,106,135
52,01-01-17,106,145
1,08-01-17,105,155
2,15-01-17,106,165
3,22-01-17,112,169
4,29-01-17,112,165
5,05-02-17,112,165
6,12-02-17,107,165
7,19-02-17,107,168
8,26-02-17,107,168
9,05-03-17,107,168
10,12-03-17,108,170
11,19-03-17,108,172
12,26-03-17,108,178
13,02-04-17,108,176
14,09-04-17,109,175
15,16-04-17,109,175
16,23-04-17,109,175
17,30-04-17,109,175
18,07-05-17,109,175
19,14-05-17,109,175
20,21-05-17,109,145
21,28-05-17,109,90
22,04-06-17,109,90
23,11-06-17,107,85
24,18-06-17,106,80
25,25-06-17,106,75
26,02-07-17,104,75
